q1,q2,q3,q4,q5,q6,index,obj,alpha_6,a_6,theta_6,d_6,theta_5,a_5,alpha_5,d_5,alpha_4,a_4,theta_4,a_3,alpha_3,theta_3,d_4,beta_3,alpha_2,a_2,theta_2,beta_2,alpha_1,a_1,d_1,theta_1
13.522,23.538,142.298,-84.845,88.300,78.852,alpha_6,-1.852,-1.001,-0.035,-0.039,0.103,0.440,-0.020,0.148,0.032,0.079,-0.080,0.017,-0.005,-0.110,0.104,-0.009,-0.104,0.048,0.004,0.000,0.033,0.029,-0.015,0.000,-0.000
13.356,23.082,142.296,-84.596,92.013,93.714,alpha_6,-1.823,-1.071,-0.056,-0.063,0.070,0.441,-0.001,0.249,0.034,0.052,-0.096,0.045,-0.010,-0.112,0.116,-0.013,-0.135,0.059,0.011,-0.001,0.028,0.032,-0.016,0.000,-0.000
13.376,23.182,142.177,-85.725,87.866,92.365,alpha_6,-1.823,-1.121,-0.031,-0.034,0.136,0.472,-0.027,0.230,0.042,0.096,-0.109,0.045,-0.010,-0.101,0.113,-0.013,-0.127,0.055,0.010,-0.001,0.020,0.032,-0.015,0.000,-0.000
13.705,32.217,117.793,-60.523,98.766,-157.519,alpha_6,-0.855,1.183,0.107,0.121,-0.011,0.057,0.054,0.560,0.003,0.066,0.009,0.535,0.277,0.154,0.737,0.014,-0.735,-0.216,0.096,-0.010,-0.088,0.043,0.000,-0.000,-0.000
14.751,24.207,141.862,-79.483,93.129,-47.591,alpha_6,-1.949,-0.430,0.012,0.013,0.074,-0.172,0.019,0.006,0.013,-0.051,-0.030,0.003,-0.000,0.047,0.025,0.002,0.025,-0.014,0.002,0.005,-0.034,-0.006,-0.003,0.000,-0.000
13.877,23.998,142.202,-82.349,86.807,50.165,alpha_6,-1.912,-0.746,-0.030,-0.034,0.082,0.332,-0.021,0.005,0.019,0.055,-0.031,-0.005,-0.002,-0.092,0.072,-0.004,-0.058,0.033,-0.001,0.001,0.047,0.021,-0.011,0.000,-0.000
15.219,23.747,142.195,-84.333,93.151,-87.424,alpha_6,-1.859,-0.870,0.015,0.017,0.141,-0.326,0.030,0.195,0.039,-0.102,-0.110,0.031,-0.002,0.085,0.073,0.009,0.062,-0.029,0.008,0.014,-0.033,-0.016,-0.007,0.000,-0.000
13.572,23.542,142.372,-84.154,91.543,78.784,alpha_6,-1.849,-0.951,-0.052,-0.058,0.049,0.413,-0.000,0.167,0.028,0.055,-0.071,0.012,-0.004,-0.116,0.099,-0.009,-0.102,0.048,0.004,0.000,0.039,0.028,-0.014,0.000,-0.000
14.826,22.359,144.136,-80.399,54.329,45.468,a_6,-0.842,-0.041,0.788,0.888,-0.019,-0.035,-0.189,0.063,0.021,0.023,-0.065,0.014,0.007,0.044,0.043,0.005,-0.006,-0.019,0.037,0.004,-0.079,-0.007,-0.000,0.000,-0.000
14.794,22.400,144.139,-80.541,54.382,45.594,a_6,-0.842,-0.040,0.789,0.889,-0.019,-0.036,-0.190,0.063,0.022,0.020,-0.066,0.010,0.008,0.043,0.042,0.004,-0.009,-0.018,0.037,0.003,-0.081,-0.006,-0.000,0.000,-0.000
