q1,q2,q3,q4,q5,q6,index,obj,alpha_6,a_6,theta_6,d_6,theta_5,a_5,alpha_5,d_5,alpha_4,a_4,theta_4,a_3,alpha_3,theta_3,d_4,beta_3,alpha_2,a_2,theta_2,beta_2,alpha_1,a_1,d_1,theta_1
107.958,0.435,139.056,-62.527,56.792,-236.114,a_6,-0.702,-0.470,1.516,1.984,-0.037,-0.332,-0.193,0.263,0.080,-0.055,-0.198,0.046,0.131,-0.020,-0.039,0.032,0.235,0.068,0.074,0.039,-0.203,-0.055,-0.011,0.000,-0.000
107.891,0.383,139.112,-62.380,57.058,123.344,a_6,-0.702,-0.487,1.509,1.975,-0.031,-0.320,-0.189,0.260,0.078,-0.046,-0.197,0.043,0.129,-0.020,-0.044,0.031,0.230,0.067,0.075,0.037,-0.207,-0.051,-0.010,0.000,-0.000
107.826,1.203,138.389,-63.209,57.188,-230.807,a_6,-0.702,-0.475,1.536,2.010,-0.048,-0.362,-0.197,0.276,0.087,-0.129,-0.203,0.060,0.108,-0.019,-0.014,0.030,0.220,0.056,0.061,0.039,-0.169,-0.055,-0.011,-0.000,-0.000
108.090,-1.494,140.796,-60.757,56.823,110.331,a_6,-0.700,-0.475,1.449,1.897,-0.001,-0.237,-0.174,0.213,0.062,0.090,-0.183,0.004,0.167,-0.022,-0.110,0.035,0.242,0.091,0.108,0.036,-0.276,-0.047,-0.008,0.000,-0.000
105.117,-0.315,138.580,-61.207,114.222,244.840,a_6,-0.680,-0.478,-1.109,-1.452,-0.015,0.324,0.143,0.198,0.078,0.094,-0.189,0.076,-0.149,-0.027,-0.138,-0.012,-0.173,0.039,0.083,-0.005,0.009,0.020,-0.006,0.000,-0.000
106.749,5.728,128.222,-58.439,71.546,48.924,a_6,-0.672,0.300,-0.990,-1.296,-0.181,0.107,-0.179,-0.149,0.157,0.123,0.196,0.135,0.061,0.123,0.083,-0.010,-0.263,-0.033,0.007,0.026,-0.202,-0.090,0.002,0.000,-0.000
106.867,5.565,128.342,-59.626,70.653,-305.274,a_6,-0.671,0.333,-1.042,-1.364,-0.189,0.123,-0.191,-0.145,0.175,0.157,0.209,0.147,0.062,0.123,0.066,-0.011,-0.254,-0.029,0.006,0.031,-0.218,-0.105,0.003,0.000,-0.000
106.602,5.870,128.048,-57.537,72.014,44.889,a_6,-0.671,0.292,-0.947,-1.239,-0.180,0.090,-0.170,-0.145,0.145,0.080,0.187,0.130,0.049,0.123,0.098,-0.008,-0.278,-0.036,0.009,0.021,-0.177,-0.073,0.001,0.000,-0.000
105.683,5.642,129.548,-65.923,101.398,-66.633,a_6,-0.573,0.534,0.693,0.907,-0.263,0.052,0.109,-0.183,0.243,-0.212,0.265,0.185,-0.098,0.099,0.057,0.003,-0.294,-0.021,0.005,-0.010,0.042,0.030,0.000,0.000,-0.000
105.739,5.740,129.055,-64.039,101.091,-63.088,a_6,-0.573,0.503,0.660,0.864,-0.250,0.054,0.105,-0.162,0.222,-0.180,0.250,0.183,-0.090,0.107,0.071,0.002,-0.309,-0.025,0.007,-0.007,0.027,0.023,0.000,0.000,-0.000
104.470,13.447,119.893,-51.747,101.905,296.092,a_6,-0.524,0.425,0.727,0.951,-0.117,0.111,0.075,0.142,0.049,-0.200,0.139,0.262,0.024,0.126,0.551,0.023,-0.503,-0.173,0.124,-0.028,0.129,0.098,0.004,0.000,-0.000
105.860,4.157,136.371,57.089,-90.673,288.138,theta_5,-3.082,-0.874,-1.301,-1.703,0.028,-7.285,-1.880,0.013,0.052,0.489,0.557,-0.009,-0.001,-0.007,-0.021,-0.000,-0.085,0.007,0.004,0.000,0.109,0.002,-0.001,0.000,-0.000
105.289,4.705,136.098,56.503,-81.355,-283.824,theta_5,-3.048,-0.475,1.389,1.818,-0.083,7.253,1.821,0.034,0.084,-0.517,0.739,-0.053,0.006,-0.006,-0.114,-0.004,0.007,0.009,0.003,-0.019,-0.051,0.028,0.010,-0.000,-0.000
106.229,0.786,137.957,70.709,-119.218,117.591,theta_5,-2.327,0.397,0.101,0.132,-0.270,-5.606,-1.632,-0.188,0.271,0.931,1.214,-0.121,0.001,-0.062,-0.326,0.003,-0.265,0.077,0.039,0.004,0.313,-0.020,0.004,0.000,-0.000
105.526,3.913,137.048,72.116,-56.057,-140.957,theta_5,-2.294,0.523,-0.147,-0.192,-0.352,5.830,1.559,0.152,0.236,-1.247,1.346,-0.118,0.003,0.071,-0.143,-0.003,0.042,0.036,0.011,-0.015,-0.126,0.032,0.004,0.000,-0.000
103.775,-4.033,138.974,51.936,-110.357,-360.000,theta_5,-2.278,-0.146,-1.552,-2.031,-0.089,-6.294,-1.719,-0.700,0.214,-0.524,0.912,0.066,-0.035,0.048,-0.208,-0.019,-0.716,0.038,0.081,-0.007,0.734,0.089,-0.030,0.000,-0.000
103.301,-4.226,140.630,47.994,-69.328,360.000,theta_5,-2.000,0.109,1.779,2.329,-0.099,6.291,1.650,-0.849,0.257,0.330,0.922,-0.300,0.008,-0.183,-0.808,-0.026,0.596,0.247,0.091,-0.072,-1.308,0.110,0.034,0.000,-0.000
105.93,-10.52,117.31,-16.77,90,-15.93,LINEAR,,,,,,,,,,,,,,,,,,,,,,,,,
105.270,5.612,133.226,64.334,-87.424,-180.733,alpha_5,-3.081,0.423,-0.035,-0.046,-0.730,0.087,-0.073,5.726,-1.109,0.335,1.246,0.213,0.024,0.028,0.051,0.002,-0.142,-0.017,0.000,-0.030,0.102,0.093,-0.000,-0.000,-0.000
104.043,10.468,121.203,138.292,-93.633,166.119,alpha_5,-2.806,0.003,0.019,0.024,-0.000,-0.056,-0.062,-6.557,1.931,-0.304,0.519,0.996,-0.476,-0.085,0.080,-0.032,0.152,-0.026,-0.094,-0.021,0.009,0.041,-0.001,0.000,-0.000
105.625,5.965,118.954,145.049,-90.555,355.553,alpha_5,-2.512,-1.217,0.160,0.209,0.000,-0.616,-0.183,-7.195,1.923,-0.201,0.518,1.651,-0.397,-0.130,0.022,-0.005,0.385,-0.006,-0.016,-0.003,-0.004,0.007,-0.000,0.000,-0.000
105.529,6.443,118.564,144.965,-90.505,-5.142,alpha_5,-2.512,-1.217,0.168,0.220,0.000,-0.631,-0.186,-7.194,1.923,-0.184,0.518,1.651,-0.393,-0.130,0.032,-0.007,0.384,-0.009,-0.024,-0.004,0.000,0.009,-0.001,-0.000,-0.000
105.240,7.232,117.858,144.771,-91.884,-360.000,alpha_5,-2.511,-1.214,0.094,0.123,0.000,-0.554,-0.173,-7.199,1.924,-0.195,0.520,1.657,-0.439,-0.130,0.048,-0.012,0.368,-0.014,-0.037,-0.007,-0.004,0.015,-0.001,0.000,-0.000
105.992,3.922,136.043,-97.394,86.639,-178.859,d_5,-1.494,0.782,-0.070,-0.092,-0.286,0.184,-0.042,-0.613,0.749,-0.008,0.289,-0.061,-0.037,0.011,-0.156,0.000,-0.030,0.052,0.002,0.003,-0.004,-0.009,0.000,0.000,-0.000
105.835,5.123,131.426,107.615,-88.279,180.086,d_5,-0.958,-0.650,0.248,0.324,0.395,-0.846,-0.251,-5.184,1.704,-0.076,0.909,0.424,-0.059,-0.043,0.002,-0.002,0.116,-0.000,-0.001,-0.001,-0.009,0.002,-0.000,0.000,-0.000
106.436,3.962,126.924,139.121,-90.091,179.674,d_5,-0.921,0.001,0.271,0.355,-0.000,-0.881,-0.261,-6.484,1.914,-0.026,0.518,0.967,-0.117,-0.088,-0.032,0.008,0.270,0.008,0.019,0.005,0.026,-0.011,0.001,0.000,-0.000
106.415,3.957,127.078,136.972,-90.051,179.580,d_5,-0.921,-0.049,0.269,0.352,0.033,-0.902,-0.267,-6.402,1.904,-0.022,0.551,0.951,-0.111,-0.087,-0.032,0.008,0.265,0.008,0.019,0.005,0.024,-0.010,0.001,0.000,-0.000
105.899,4.677,138.112,-107.103,89.756,354.620,d_5,-0.643,0.484,-0.005,-0.007,-0.676,0.301,-0.001,-1.448,0.612,-0.010,0.676,-0.161,0.028,-0.027,-0.053,0.000,0.069,0.018,-0.002,-0.001,0.013,0.004,-0.000,0.000,-0.000
105.863,4.734,138.010,-105.194,90.545,-7.916,d_5,-0.643,0.476,0.035,0.046,-0.656,0.296,0.003,-1.394,0.592,-0.010,0.656,-0.149,0.031,-0.027,-0.046,0.000,0.064,0.015,-0.002,-0.003,0.019,0.009,-0.000,0.000,-0.000
105.536,5.675,127.178,76.555,-75.795,-136.929,d_5,-0.528,0.565,-0.808,-1.058,-0.693,-0.742,-0.228,6.057,-1.235,0.462,1.181,0.548,0.098,0.120,0.075,0.002,-0.336,-0.023,0.002,-0.017,0.051,0.054,-0.001,-0.000,-0.000
112.614,-8.138,119.088,-180.000,-81.123,-151.156,d_5,-0.475,0.323,0.722,0.945,-0.291,-1.170,-0.323,-5.629,1.772,-0.004,0.776,2.416,-0.446,-0.001,-1.037,0.095,0.437,0.383,0.183,0.185,0.086,-0.420,0.021,0.000,-0.000
112.536,-7.955,118.978,-180.000,-82.014,205.164,d_5,-0.475,0.354,0.675,0.883,-0.295,-1.150,-0.323,-5.603,1.769,-0.011,0.784,2.420,0.001,-0.457,-1.025,0.094,0.431,0.379,0.180,0.184,0.079,-0.419,0.021,0.000,-0.000
105.930,5.060,135.920,-83.137,64.477,-119.741,alpha_4,-5.338,0.054,1.397,1.829,-0.383,-0.826,-0.204,-0.407,0.370,-1.974,0.000,-0.000,-0.000,0.000,-0.000,0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000
105.930,5.060,135.920,-87.267,63.001,-134.545,alpha_4,-5.325,0.186,1.567,2.051,-0.399,-0.827,-0.220,-0.546,0.432,-2.193,0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,0.000,0.000,-0.000
105.930,5.060,135.920,-78.348,66.201,-105.960,alpha_4,-5.323,-0.040,1.188,1.556,-0.363,-0.796,-0.186,-0.256,0.303,-1.701,0.000,-0.000,-0.000,0.000,0.000,-0.000,-0.000,-0.000,-0.000,-0.000,0.000,0.000,0.000,0.000,-0.000
105.930,5.060,135.920,-89.865,61.783,-147.652,alpha_4,-5.297,0.326,1.659,2.171,-0.412,-0.813,-0.234,-0.639,0.474,-2.311,0.000,0.000,-0.000,-0.000,0.000,0.000,0.000,-0.000,0.000,-0.000,-0.000,-0.000,-0.000,0.000,-0.000
105.929,5.059,135.920,-88.178,109.843,147.222,alpha_4,-5.219,-0.079,-1.619,-2.119,-0.306,0.925,0.144,-0.425,0.380,2.194,0.000,0.000,-0.000,0.000,-0.000,-0.000,-0.000,0.000,0.000,-0.000,0.000,0.000,-0.000,0.000,-0.000
105.934,5.058,135.922,-90.179,111.540,164.098,alpha_4,-5.213,0.132,-1.659,-2.172,-0.329,0.905,0.161,-0.498,0.419,2.252,0.001,-0.000,0.000,-0.000,-0.000,0.000,0.000,0.000,0.000,0.000,-0.000,-0.000,0.000,0.000,-0.000
105.930,5.060,135.920,-85.084,108.300,132.405,alpha_4,-5.182,-0.246,-1.510,-1.976,-0.286,0.929,0.129,-0.334,0.334,2.050,0.000,-0.000,0.000,-0.000,-0.000,0.000,0.000,-0.000,0.000,0.000,-0.000,-0.000,0.000,0.000,-0.000
110.462,0.770,137.361,114.012,-61.626,141.882,alpha_4,-1.658,-0.291,-0.252,-0.329,0.000,4.340,1.081,-5.360,1.594,-3.325,0.774,0.316,-0.047,0.131,0.245,0.068,0.386,0.060,0.063,0.093,-0.019,-0.102,-0.035,-0.000,-0.000
101.365,-1.520,136.577,114.623,-116.218,-139.094,alpha_4,-1.325,-0.530,0.643,0.842,0.000,-4.741,-1.235,-4.937,1.477,2.696,0.790,0.405,-0.072,-0.169,0.108,-0.065,-0.360,0.029,0.093,-0.012,-0.139,0.111,-0.042,-0.000,-0.000
105.912,4.955,135.971,-100.825,79.301,-352.584,a_4,-2.346,0.513,-0.287,-0.376,-0.652,0.186,-0.050,-1.244,0.550,-0.358,0.639,-0.012,0.001,0.001,-0.015,0.000,-0.004,0.005,-0.001,-0.001,0.004,0.002,0.000,-0.000,-0.000
105.908,-1.300,136.771,86.859,-86.553,181.621,a_4,-1.946,-0.856,0.134,0.175,0.288,-0.281,-0.133,-0.204,0.643,0.008,1.703,0.022,-0.212,-0.005,-0.612,-0.000,-0.047,0.200,0.080,-0.001,-0.131,0.002,-0.000,0.000,-0.000
105.930,5.060,135.920,65.070,-74.855,-180.259,a_4,-1.785,0.199,-0.100,-0.131,-0.537,3.443,0.832,4.232,-0.683,-0.180,1.430,0.000,-0.000,0.000,-0.000,0.000,-0.000,0.000,0.000,-0.000,-0.000,-0.000,-0.000,0.000,-0.000
105.930,5.057,135.921,64.332,-75.941,179.948,a_4,-1.784,0.218,-0.096,-0.125,-0.560,3.088,0.736,4.464,-0.741,-0.091,1.422,-0.000,-0.000,0.000,-0.000,-0.000,0.000,0.000,0.000,-0.000,-0.000,0.000,0.000,0.000,-0.000
105.93,-10.52,117.31,-16.77,90,-15.93,LINEAR,,,,,,,,,,,,,,,,,,,,,,,,,
105.557,5.017,107.709,8.700,91.026,-202.909,theta_4,-6.787,-0.456,0.112,0.147,-0.454,0.389,0.000,2.240,-0.276,-0.207,0.450,3.093,-0.011,0.084,-0.003,-0.004,0.042,0.004,0.000,-0.011,-0.001,0.034,-0.001,0.000,-0.000
105.728,5.014,109.926,10.378,79.305,36.219,theta_4,-6.728,0.597,0.664,0.869,-0.469,0.286,-0.047,1.773,-0.302,-0.242,0.508,2.853,-0.005,0.079,-0.004,-0.002,0.024,0.003,0.000,-0.006,0.000,0.019,-0.001,-0.000,-0.000
105.573,5.008,106.985,11.048,79.202,-243.807,theta_4,-6.545,-0.235,0.727,0.952,-0.437,0.388,-0.054,2.136,-0.286,-0.236,0.475,3.162,-0.011,0.092,-0.004,-0.004,0.035,0.004,0.001,-0.011,-0.001,0.032,-0.001,-0.000,-0.000
105.585,5.020,106.622,13.171,77.138,102.538,theta_4,-6.493,-0.079,0.848,1.111,-0.459,0.375,-0.057,2.072,-0.293,-0.267,0.504,3.199,-0.009,0.095,-0.003,-0.004,0.039,0.004,0.000,-0.010,-0.001,0.031,-0.001,-0.000,-0.000
105.581,4.978,108.618,10.263,74.823,71.881,theta_4,-6.466,0.221,0.910,1.191,-0.438,0.336,-0.071,1.861,-0.287,-0.243,0.489,2.998,-0.011,0.079,-0.007,-0.004,0.038,0.005,0.001,-0.010,-0.001,0.031,-0.001,0.000,-0.000
105.825,5.015,155.000,-120.259,109.476,255.050,theta_4,-6.114,-0.118,0.006,0.008,0.055,0.369,0.303,-1.767,0.806,0.162,-0.185,-2.118,0.004,0.048,-0.005,-0.001,0.012,0.002,0.000,-0.003,0.001,0.010,-0.000,0.000,-0.000
106.199,5.301,106.551,122.011,-104.069,40.954,theta_4,-4.922,-0.353,-0.409,-0.535,0.109,-1.508,-0.683,-2.118,0.595,-0.156,1.754,3.139,-0.010,0.142,0.025,0.003,-0.038,-0.011,-0.003,0.009,-0.005,-0.027,0.001,-0.000,-0.000
106.290,5.379,103.797,132.128,-76.707,-54.413,theta_4,-4.865,-0.709,0.047,0.062,0.207,-1.610,-0.224,-2.401,0.705,-0.083,1.750,3.393,-0.013,0.172,0.034,0.004,-0.048,-0.014,-0.003,0.012,-0.008,-0.036,0.001,-0.000,-0.000
106.303,5.522,94.910,-180.000,-82.741,-98.940,theta_4,-4.315,-0.290,0.669,0.876,-0.094,-1.980,-0.367,-3.706,1.293,0.690,1.446,4.182,-0.009,0.262,0.048,0.004,-0.057,-0.019,-0.005,0.013,-0.007,-0.038,0.001,-0.000,-0.000
106.340,5.474,96.823,-180.000,-83.343,245.107,theta_4,-4.312,-0.130,0.667,0.872,-0.118,-1.919,-0.377,-3.511,1.304,0.738,1.432,4.010,-0.007,0.245,0.043,0.004,-0.063,-0.018,-0.005,0.014,-0.009,-0.042,0.002,0.000,-0.000
105.93,-10.52,117.31,-16.77,90,-15.93,LINEAR,,,,,,,,,,,,,,,,,,,,,,,,,
105.929,4.982,123.266,-27.402,99.025,30.124,alpha_3,-10.382,-0.240,-0.079,-0.104,-0.137,0.509,0.053,0.490,-0.076,0.175,-0.011,0.304,2.190,0.077,-0.004,0.000,0.019,0.001,-0.000,-0.000,0.010,0.000,-0.000,-0.000,-0.000
