q1,q2,q3,q4,q5,q6,index,alpha_6,theta_6,a_6,a_5,d_6,alpha_5,theta_5,a_4,d_5,alpha_4,theta_4,beta_3,alpha_3,a_3,theta_3,beta_2,alpha_2,a_2,d_4,theta_2,a_1,alpha_1,d_1,theta_1
15.234,23.254,138.741,-72.384,92.331,-34.624,0.000,-0.241,0.012,0.011,0.005,0.040,-0.021,-0.036,-0.003,-0.040,-0.004,0.002,0.018,-0.004,-0.040,0.030,0.040,-0.001,-0.005,0.004,0.004,-0.005,-0.001,0.000,-0.000
14.507,23.064,139.008,-72.336,87.065,5.810,0.000,-0.260,-0.009,-0.008,-0.008,0.050,-0.050,0.050,0.000,-0.008,-0.007,0.001,0.007,-0.002,0.024,-0.047,0.050,-0.003,0.018,0.050,0.002,-0.007,0.009,0.000,-0.000
15.616,22.738,141.436,-75.377,90.684,-19.621,1.000,-0.032,-0.068,0.019,-0.060,0.015,-0.024,0.007,-0.008,-0.020,0.032,0.011,-0.060,0.020,0.053,-0.031,0.017,0.019,-0.009,0.034,0.008,0.001,-0.020,0.000,-0.000
15.041,23.866,137.910,-73.971,86.992,-12.485,1.000,0.020,-0.068,-0.036,-0.060,-0.033,-0.007,0.024,-0.016,0.030,-0.033,-0.001,0.054,0.017,-0.045,-0.034,0.008,0.000,-0.005,-0.018,0.003,-0.000,-0.009,0.000,-0.000
15.271,23.738,137.978,-74.300,92.783,-17.551,1.000,0.055,0.068,-0.048,0.060,0.025,0.011,0.030,0.026,0.033,0.031,-0.004,0.047,0.018,-0.001,-0.034,-0.015,0.000,-0.008,-0.056,0.008,0.002,-0.032,-0.000,-0.000
15.495,23.612,138.291,-73.137,89.112,-8.782,1.000,-0.055,-0.068,-0.003,-0.060,-0.012,-0.033,0.016,0.032,0.014,0.055,-0.006,0.006,0.014,0.031,-0.038,-0.059,0.001,-0.002,-0.058,0.007,0.006,-0.038,0.000,-0.000
15.298,22.054,140.467,-72.872,98.533,-28.901,2.000,0.000,-0.250,-0.222,-0.022,0.017,0.027,0.002,0.020,-0.006,0.003,0.006,0.048,0.003,0.005,-0.023,0.047,0.021,-0.008,0.025,0.001,0.001,-0.000,0.000,-0.000
15.164,23.784,137.316,-71.341,80.654,-4.405,2.000,0.022,-0.250,-0.222,-0.027,-0.046,0.019,0.001,-0.018,0.004,-0.045,-0.004,0.037,0.022,-0.050,-0.050,0.046,0.006,-0.015,-0.050,0.003,-0.000,-0.011,0.000,-0.000
15.505,22.073,140.161,-76.252,56.637,36.863,3.000,0.005,0.291,0.258,-0.407,-0.008,0.050,0.050,-0.029,-0.050,0.020,0.007,-0.029,-0.001,0.005,0.042,-0.050,0.021,0.007,-0.025,0.017,0.001,-0.050,0.000,-0.000
14.543,22.013,139.871,-75.590,105.533,-36.290,3.000,-0.001,-0.146,-0.129,0.164,-0.008,0.050,0.040,0.050,-0.050,-0.039,-0.005,-0.009,-0.005,-0.045,-0.038,-0.050,0.022,0.035,-0.050,-0.010,-0.001,0.030,0.000,-0.000
15.312,21.949,139.683,-75.524,103.024,-40.516,3.000,-0.082,-0.161,-0.143,0.163,0.030,0.050,0.046,-0.041,-0.050,0.010,0.005,0.024,-0.007,-0.014,0.050,-0.050,0.023,0.008,-0.050,0.011,0.000,-0.032,0.000,-0.000
15.196,22.890,139.034,-74.821,79.243,-1.778,3.000,0.026,-0.300,-0.266,-0.162,-0.050,-0.050,0.044,-0.039,0.024,-0.031,-0.002,-0.015,0.006,-0.038,0.020,-0.050,-0.001,0.006,-0.050,0.011,-0.000,-0.034,0.000,-0.000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.432,23.577,139.155,-75.139,71.309,-17.551,5.000,0.300,-0.072,-0.064,-0.088,0.300,-0.313,-0.060,0.001,0.026,-0.041,-0.026,-0.060,0.045,0.002,-0.060,0.060,0.018,0.003,0.000,-0.015,0.008,0.031,0.000,-0.000
15.826,21.920,140.932,-74.947,63.374,25.068,5.000,-0.300,0.287,0.255,-0.265,-0.162,0.152,0.016,-0.028,0.025,0.001,-0.060,0.003,-0.029,0.007,-0.060,0.060,0.015,0.025,0.012,0.017,0.006,-0.056,0.000,-0.000
15.483,23.540,139.083,-74.539,97.775,-17.860,5.000,0.179,0.017,0.015,0.014,0.126,-0.139,0.060,0.008,0.015,0.060,-0.006,0.044,-0.032,0.002,-0.060,-0.060,-0.018,0.004,-0.002,-0.001,0.009,-0.016,0.000,-0.000
15.416,22.936,138.030,-75.131,100.863,-30.900,5.000,0.236,0.248,0.220,0.132,0.117,-0.123,0.060,0.036,0.060,0.059,0.060,-0.030,-0.007,0.018,-0.060,-0.060,0.002,0.000,-0.004,0.016,0.003,-0.057,0.000,-0.000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.430,23.574,139.146,-75.146,68.505,-17.700,5.000,0.350,-0.081,-0.072,-0.097,0.350,-0.361,-0.060,0.001,0.027,-0.043,-0.026,-0.060,0.043,0.002,-0.060,0.060,0.018,0.002,0.000,-0.015,0.008,0.032,0.000,-0.000
15.744,22.049,140.805,-75.402,62.852,27.415,5.000,-0.350,0.281,0.249,-0.279,-0.178,0.174,0.032,-0.033,0.029,-0.001,-0.060,-0.001,-0.037,0.007,-0.060,0.060,0.016,0.022,0.011,0.015,0.006,-0.051,0.000,-0.000
15.511,23.221,138.427,-72.741,77.704,9.177,5.000,-0.350,-0.350,-0.311,-0.094,-0.189,0.141,0.033,0.011,0.014,0.060,0.001,-0.025,0.033,0.010,-0.060,-0.060,-0.005,0.002,-0.006,0.005,0.008,-0.032,0.000,-0.000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.158,23.295,139.229,-78.388,67.345,38.653,6.000,-0.645,-0.091,-0.080,-0.293,0.273,-0.204,0.270,0.050,0.060,-0.035,-0.005,-0.017,-0.003,-0.024,-0.060,0.058,-0.004,0.026,0.019,-0.014,-0.010,0.060,0.000,-0.000
14.162,23.344,139.268,-78.576,113.452,-38.472,6.000,0.508,-0.109,-0.097,0.174,-0.309,0.305,0.270,0.051,0.060,-0.035,-0.005,-0.021,-0.002,-0.028,-0.054,0.060,-0.004,0.024,0.016,-0.014,-0.010,0.060,0.000,-0.000
15.617,23.105,139.503,-77.762,98.309,-43.499,6.000,-0.330,0.005,0.005,0.109,0.120,-0.015,-0.214,0.052,-0.060,-0.049,0.007,-0.001,-0.001,0.060,0.060,0.060,0.001,-0.024,-0.023,0.024,-0.006,-0.056,0.000,-0.000
15.012,23.350,139.926,-80.554,106.839,-47.528,7.000,-0.200,-0.200,-0.178,0.200,0.088,-0.009,-0.056,-0.099,-0.027,0.080,0.001,-0.080,0.009,0.046,-0.022,0.003,-0.000,-0.002,0.004,0.002,-0.000,-0.006,0.000,-0.000
14.487,24.058,138.330,-77.620,96.511,-21.811,7.000,0.070,0.200,0.178,0.084,-0.066,-0.009,0.069,0.063,0.009,0.067,0.005,0.080,-0.000,0.042,-0.047,0.080,0.004,-0.010,0.080,-0.016,0.000,0.052,0.000,-0.000
10.983,53.318,76.328,153.006,-97.786,-1.719,10.000,-0.458,0.182,0.162,0.038,-0.108,-1.596,0.298,1.700,1.021,0.122,5.404,0.094,-1.625,-1.056,-0.029,1.700,-0.457,-0.078,1.493,-0.151,0.005,0.500,0.000,-0.000
25.381,36.806,97.216,85.941,-4.679,16.516,10.000,0.855,0.825,0.732,0.524,-0.675,1.456,1.235,1.700,-0.436,0.906,4.869,0.193,-0.932,1.042,0.033,1.700,-0.130,-1.434,-0.760,0.568,0.038,-1.363,0.000,-0.000
17.701,34.948,96.448,44.046,41.031,61.916,10.000,0.633,0.887,0.788,0.139,-0.804,1.700,0.530,1.172,-0.483,0.542,4.287,0.082,0.331,0.682,0.019,0.898,-0.146,-0.709,-0.191,0.108,0.016,-0.324,0.000,-0.000
4.959,35.782,95.531,40.888,157.343,-68.901,10.000,0.681,-0.870,-0.773,-0.255,-0.826,1.700,-0.220,1.194,-0.464,-1.067,4.080,0.068,-1.700,-1.602,-0.079,0.450,-0.166,0.498,1.023,-0.310,0.026,1.232,0.000,-0.000
9.951,46.767,80.053,137.746,-104.532,0.103,10.000,-0.323,-0.058,-0.051,-0.133,0.013,-0.958,0.057,1.917,0.550,0.086,5.599,0.178,-1.485,-1.235,-0.028,1.700,-0.324,-0.075,1.221,-0.191,0.005,0.665,0.000,-0.000
16.416,36.484,94.717,44.575,45.076,68.564,10.000,0.746,0.894,0.794,0.079,-0.856,2.000,0.449,1.133,-0.627,0.484,4.510,0.138,0.188,0.374,0.008,1.182,-0.159,-0.735,-0.150,0.060,0.008,-0.186,0.000,-0.000
9.587,57.721,81.273,-179.909,-137.066,77.809,10.000,0.448,-0.896,-0.795,-0.071,-0.643,-1.368,0.428,1.172,1.387,0.348,4.414,0.032,-1.211,-1.161,-0.040,1.700,-0.533,0.106,1.700,-0.195,0.007,0.674,0.000,-0.000
9.599,57.767,81.225,-179.909,-69.608,-77.459,10.000,0.519,1.288,1.143,0.246,-0.681,-1.361,0.426,1.172,1.387,0.347,4.414,0.032,-1.209,-1.158,-0.040,1.700,-0.534,0.104,1.700,-0.194,0.007,0.672,0.000,-0.000
6.476,37.569,93.267,43.132,150.191,-74.116,10.000,0.803,-0.873,-0.775,-0.148,-0.875,2.000,-0.032,1.151,-0.610,-0.953,4.379,0.139,-1.700,-1.639,-0.049,0.795,-0.176,0.394,1.242,-0.293,0.024,1.114,0.000,-0.000
10.514,43.485,96.905,157.766,-102.864,177.252,10.000,0.499,0.199,0.177,0.068,-0.204,0.494,0.435,1.725,0.862,-0.095,4.165,0.110,-1.199,-1.112,-0.017,1.700,-0.244,-0.062,1.251,-0.180,0.009,0.609,0.000,-0.000
12.867,39.092,101.683,11.430,90.107,-179.828,10.000,0.144,0.160,0.142,-0.015,-0.855,2.000,0.238,0.855,-0.578,-0.134,3.627,0.024,-0.992,-0.360,-0.015,1.142,-0.227,-0.230,0.704,-0.082,0.001,0.260,0.000,-0.000
15.946,21.835,138.477,-72.319,101.938,-50.298,11.000,-0.294,-0.300,-0.266,0.113,0.078,0.079,-0.119,-0.030,0.010,0.034,0.178,0.187,-0.026,-0.050,0.015,0.050,0.023,-0.035,-0.050,0.023,-0.005,-0.050,0.000,-0.000
14.786,22.882,136.566,-69.743,95.573,-20.634,11.000,0.053,0.139,0.123,0.046,-0.020,0.033,0.035,0.005,0.002,0.046,-0.001,-0.161,0.050,0.050,0.002,-0.050,-0.005,0.023,0.050,-0.003,-0.000,0.011,0.000,-0.000
14.793,22.832,136.660,-68.438,86.377,-7.152,11.000,-0.044,-0.162,-0.144,-0.022,0.022,-0.024,0.015,-0.017,-0.007,0.035,-0.039,-0.154,0.050,0.050,0.002,-0.050,-0.006,0.022,0.050,-0.002,-0.000,0.009,0.000,-0.000
14.838,23.091,136.516,-67.694,91.078,-28.993,12.000,-0.133,0.200,0.178,0.002,0.031,-0.024,-0.027,-0.014,-0.000,-0.187,-0.037,0.064,-0.366,0.020,0.001,-0.020,-0.001,-0.008,-0.020,-0.001,0.002,0.001,0.000,-0.000
15.076,23.486,141.599,-78.196,76.209,-3.892,12.000,0.200,-0.018,-0.016,-0.114,-0.127,0.078,-0.066,-0.032,0.028,0.110,-0.200,-0.125,0.337,0.020,0.001,0.020,-0.003,-0.001,0.020,0.004,-0.001,-0.010,0.000,-0.000
15.095,23.652,141.303,-77.578,88.667,-2.586,12.000,-0.150,0.147,0.131,-0.003,0.042,-0.070,0.031,-0.023,0.010,-0.136,-0.092,0.073,-0.278,0.020,0.001,-0.020,-0.002,-0.013,-0.020,-0.000,0.002,-0.003,0.000,-0.000
18.667,21.958,138.142,-66.434,84.615,-22.229,14.000,-0.088,-0.013,-0.012,-0.039,0.111,-0.200,-0.123,-0.026,0.054,-0.016,-0.142,-0.200,0.057,0.035,-0.508,-0.060,0.050,0.015,-0.025,-0.020,0.060,-0.060,0.000,-0.000
11.117,24.092,139.509,-75.906,86.832,5.726,14.000,0.196,0.103,0.092,-0.035,-0.035,-0.074,-0.005,-0.015,0.066,-0.024,-0.158,-0.200,-0.011,0.025,-0.503,-0.060,0.058,0.018,-0.027,-0.058,0.060,0.060,0.000,-0.000
15.621,26.624,140.069,-84.137,78.752,-10.603,14.000,0.194,-0.151,-0.134,-0.091,-0.199,0.107,-0.062,0.087,0.062,-0.150,0.200,-0.044,0.186,-0.059,0.428,0.060,-0.060,0.017,-0.008,0.022,-0.006,-0.060,0.000,-0.000
14.449,21.381,137.977,-68.806,82.945,-7.259,14.000,0.097,-0.162,-0.144,-0.098,-0.062,0.051,-0.028,-0.002,-0.004,-0.005,-0.018,0.014,-0.200,0.029,-0.292,-0.060,0.060,0.004,0.002,-0.021,0.004,0.060,0.000,-0.000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165.848,-79.543,70.128,102.515,94.433,89.756,19.000,-0.204,-0.105,-0.094,0.136,0.530,-0.001,1.613,-0.008,0.323,0.007,0.526,-3.468,0.830,1.932,3.500,2.064,2.850,-0.822,0.060,16.064,0.376,1.000,0.000,-0.000
165.837,-79.841,68.098,63.718,168.394,-89.950,19.000,1.318,0.878,0.780,0.647,-0.485,-0.926,1.290,0.319,0.941,0.878,0.280,-3.445,0.883,1.917,3.500,2.078,2.863,-0.826,0.063,16.064,0.375,1.000,0.000,-0.000
165.827,-79.481,75.878,20.473,110.076,70.117,19.000,0.642,-0.965,-0.857,0.099,-0.920,-0.902,0.531,0.867,1.186,1.352,1.176,-3.499,0.676,1.961,3.500,2.074,2.867,-0.820,0.065,16.064,0.375,1.000,0.000,-0.000
-194.162,-79.894,67.106,87.657,165.116,-85.348,19.000,1.316,0.601,0.534,0.873,0.022,-0.827,1.551,0.081,0.625,0.396,0.168,-3.436,0.909,1.910,3.500,2.078,2.862,-0.827,0.062,16.064,0.375,1.000,0.000,-0.000
-194.155,-79.342,68.858,136.949,132.234,3.940,19.000,0.533,0.813,0.722,0.642,0.781,-0.371,1.391,0.085,-0.242,-0.753,0.412,-3.455,0.854,1.925,3.500,2.061,2.851,-0.818,0.061,16.064,0.375,1.000,0.000,-0.000
165.853,-79.722,63.041,119.215,117.883,26.537,19.000,-0.080,0.593,0.527,0.516,-0.046,-0.136,1.560,-0.016,0.159,-0.271,-0.245,-3.399,1.007,1.881,3.500,2.066,2.847,-0.825,0.059,16.064,0.376,1.000,0.000,-0.000
165.812,-79.562,77.330,-160.778,-100.114,-117.433,19.000,0.559,-0.895,-0.795,-0.116,2.428,-0.881,-0.007,1.097,-0.794,-1.390,1.336,-3.500,0.634,1.967,3.500,2.084,2.881,-0.820,0.069,16.064,0.374,1.000,0.000,-0.000
-194.190,-79.922,73.762,30.829,104.957,93.934,19.000,0.701,-1.054,-0.936,0.130,-0.832,-0.763,0.744,0.733,1.162,1.292,0.899,-3.478,0.733,1.950,3.500,2.095,2.888,-0.826,0.069,16.064,0.374,1.000,0.000,-0.000
-194.190,-79.482,63.410,76.991,111.116,51.807,19.000,-0.176,-0.270,-0.240,0.341,-0.779,-0.292,1.457,0.210,0.828,0.666,-0.164,-3.381,0.972,1.887,3.500,2.083,2.883,-0.819,0.069,16.064,0.374,1.000,0.000,-0.000
-194.192,-79.475,77.678,71.033,156.951,-160.902,19.000,1.142,-0.640,-0.568,0.805,0.170,-0.723,1.517,0.127,0.710,0.620,1.387,-3.499,0.621,1.968,3.500,2.084,2.884,-0.818,0.070,16.064,0.374,1.000,0.000,-0.000
-56.637,17.160,-34.626,-78.070,-176.347,-134.065,20.000,-0.152,0.812,0.721,-1.022,0.057,-0.368,-1.827,1.718,0.749,1.275,2.500,-2.303,0.186,1.863,0.617,2.500,2.500,0.134,-0.600,2.500,7.728,0.176,0.000,-0.000
-56.628,17.157,-54.572,87.376,153.797,108.621,20.000,-0.482,-0.570,-0.506,0.406,-0.120,-0.088,1.722,-0.014,0.796,1.608,0.439,-2.318,-0.715,1.829,0.625,2.500,2.500,0.134,-0.600,2.500,7.728,0.175,0.000,-0.000
-56.645,17.162,-43.785,15.433,-162.867,-151.847,20.000,0.773,0.155,0.137,0.098,-1.030,-0.488,0.216,0.688,1.397,2.315,1.532,-2.291,-0.236,1.860,0.609,2.500,2.500,0.135,-0.600,2.500,7.728,0.177,0.000,-0.000
